Timestamp,"Your Name (if you want, you can share)",Viva Date,Viva Proctor ID (the id which was sent to you in email for viva),Questions asked by the Viva examiner (Write in points),Any suggestions/tips to fellow students for this examiner?
11/12/2024 0:10:04,,11/11/2024,L1_118,"1. Directly asked to start presenting the notebook
2. What feature engineering was used
3. Which correlation were used for the features
4. What scaling was used and why (Why use StandardScaler?) ","Sounds like the sweetest guy ever- Very comfortable and patient. Didn't ask any outside questions, only asked to clarify a few things that I had already explained in the notebook. Finished right on time."
11/13/2024 11:55:52,Shreyan,11/12/2024,LEVEL2_106,"Assuming you have gone through previous experiences people had with this proctor, its the same for me, I explained my notebook for 40 min and hence 0 questions asked.
",Just do everything possible and explain well
11/16/2024 10:57:24,Rajyalakshmi,11/12/2024,Level3_9,"1. Data Preprocessing and its need.
2. Overfitting and Underfitting with example. How can we avoid them?
3. Hyperparameter tuning and its need. Difference b/w GridSearchCV and RandomizedSearchCV.
4. What model will suit best for preidcting House prices?
5. Need for scaling. Different scaling techniques.
6. How does dimensionality reduction work? Will it discard any data points? What is PCA?
7. Explain what you have done in the notebook.
8. What is your best model? Why did it perform better than other models?",You won't get any direct/indirect feedback on how you are answering from the examiner's facial expression or body language. Be confident and continue. No deep mathematical/conceptual questions.
11/17/2024 15:49:31,,11/17/2024,Level2_106,Asked abstract questions about the data. Didn't ask any technical questions. Asked questions about college life. ,"Super chill. Understand what you've done and why. Understand the significance of each model you've used, and what others you could have used"
11/17/2024 22:23:23,Rahul Sharma,11/17/2024,level2_71,"1. You should know every single word about your notebook
2. She might ask why used this and not this?? {for example why onehot and not label encode}
3. All the models you have defined, you should know every hyperparameter reason too. {for example why used logloss as evalmetric or why used a certain threshold value}
4. for preprocessing the question were similar to other's responses

That was it for me!","All the questions were from the notebook and you know should have a good knowledge of preprocessing theory and your models. that's it and also dont just follow what you see here in the form, also learn more and more! because the proctor is abstract!!"
11/22/2024 11:31:00,,11/22/2024,level1_viva_117,1. what is solver,format notebook well they only view your notebook is well formated or not.
11/22/2024 13:11:55,Anonymous ,11/22/2024,level1_viva8,"1) No Theoretical Questions asked, I just explained the things I did in the Notebook and that's it.
2) At the end he gave some suggestions.","Be prepared with what you have done in Kaggle Notebook as you have to show and explain it within 20-25 minutes.
Focus on EDA, and Model Comparison "
11/22/2024 21:51:32,Kavya Chouhan,11/22/2024,mlp_level1_viva3,"1. Straight away asked to show eda, feature engineering, feature scaling, handling missing values, pipelines

2. Then asked theoretical questions  like the difference between bagging and boosting, what is F1 score,  etc

3. Didn't asked to explain the notebook and completed it in 10 min",examiner is straight forward. learn the theory well even for level 1 vivas
11/26/2024 18:26:37,Ananya ,11/26/2024,lvl2_72,"Done in 20 mins
He can ask questions from anywhere,there isn't a set pattern to what he'll ask
Asks a lot of conceptual questions,isn't interested in you writing code live
While explaining my notebook I gave brief definitions about the scaling/imputation methods and the model parameters myself so he didn't ask much on that
1)Theory about the models I'd used
2)What is  stratify and why you used it
3)How can you find correlation between categorical data 
4)How can you find if a model is biased or not
5)Precision,Recall,F1 score
6)Gave suggestions on how I can further improve my model and apply it somewhere else
","
The examiner is very supportive, gives you every chance to explain yourself,kind of discussed the problem with you and explains you wherever you lag
Make sure your basics are very strong"
11/27/2024 11:38:44,Anonymous ,11/27/2024,level2_103,"Level2_103 proctor experience 
1) Nice person
2) Ask for an Introduction 
3) Then present the Kaggle project for 15-20mins.
4) Gave Coding question on RFE - 20mins
5) Asked what a decision tree is.
6) Compare KMeans Clustering and KNN.

done in 50mins",Be comfortable with coding
11/27/2024 17:02:53,Vaishnavi Srivastava,11/27/2024,level2_81,"i explained my notebook for 20 mins
he didn't ask a single question
he just spotted my mistakes, 2 of them and said I did good work over all
viva duration - 30 mins",know you notebook well and you should know why you have implemeted a specific thing
11/28/2024 12:40:44,,11/23/2024,mlp_level1_viva7_MLP_Viva,Asked to just go through the notebook and gave suggestions in the end to improve score,
11/28/2024 14:09:15,Soham,11/24/2024,106,"Ways to handle data imbalance.
Since data is skewed and imbalanced what steps have you taken?
Is there a real way of get rid of the bias by the imbalance.","Explain full notebook clearly, he only asked 3 questions from me.
Mostly asks from logical standpoint."
11/28/2024 23:17:21,Aditi,11/26/2024,level2_107 ,"1. what is the use of correlation matrix
2. what did you do to address imbalance in the data
3. what is k fold cross validation
4. did you drop any columns or features from the dataset, why or why not
5. what is the definition/meaning of precision and recall
6. in classification report, what is the column called ""support"", what is macro avg and weighted avg
7. coding question was the same as what others have written above (MNIST one using pipeline, SVM classifier etc).
8. what is ""degree"" parameter in SVC
9. what is ""C"" parameter in SVC
10. how does a SVM classifier work
11. what is activation function
12. what are neural networks",be thorough with theory of how the models work and their parameters. learn the code for the MNIST question because he seems to ask the same one to most students
11/29/2024 18:42:52,Aaradhya Kulkarni,11/29/2024, level2_72,Why did you plot ROC Curve if you are already plotting f1-scores.,"Polite proctor. Just explain whatever you thought when coding your notebook (or your AI assistant thought). Walk him through the notebook slowly building a narrative. 
He will suggest you improvements. He does not have any pre-decided questionnaire, he will ask you from your notebook only. "
12/1/2024 23:41:17,Kavya Chouhan,11/27/2024,proctor level2_122 ,"Proctor delayed the session to one hour due to some emergency

But he was very friendly. Asked for the small introduction, asked why do you want to do this course, what are you doing to improve your skills.

Then I was explaining to him my project deeply. He Was listening without any interruption. Then asking questions based on my implementations only. He gave some useful tips to increase the scores further.",
12/7/2024 22:46:54,,12/7/2024,mlp_level1_viva3@study.iitm.ac.in,"all theoretical based on notebook

and general query about models, preprocessing",
12/8/2024 9:53:00,,12/8/2024,level1_viva4,"First asked me to explain the notebook
Then asked questions based on whatever I have implemented such as 
- Difference between standard scaling and robust scaling
- What is One Hot Encoder and what does handle_unknown= false mean
- What is Smote
Basically only asked about what I had implemented in the notebook
",Just know what you have done in the notebook and why
12/8/2024 11:23:02,,12/8/2024,mlp_level1_viva14,"level1_viva14

very chill
listened quietly for 10 mins to my presentation
then asked a few questions on the 'cv' parameter of randomized search cv, some preprocessing and overfitting underfitting

then gave some suggestions for level 2 like revise theory, include classification reports, and prepare coding well.

overall went great","Explain the notebook well
know what is cross validation
overfitting underfitting
and f1 scores"
12/8/2024 21:25:45,Sanjay ,12/8/2024,Level 1 viva 4,Ask to explain the code and I explained it then asked questions from selector and scaler,Be through on your code
12/9/2024 15:00:15,Hehe,12/9/2024,Level 1_116," at first he asked me to introduce yourself after that 
He didn't ask any questions just wanted me to show each part and explain the notebook",
12/9/2024 15:21:53,,12/9/2024,L1 viva5,Want to see feature engineering ,Best of luck for l2
12/9/2024 22:15:15,,12/9/2024,level1_118,"Timing- 9:30-10pm, No questions asked. Only told to present the notebook. He was patiently listening and noting down wherever he found some discrepancies and suggested me to change/add at the end. Ask questions to him how u can improve the score, etc.","Do good EDA (plot graphs, visualisation), add insights/findings/understandings after each section, give model predictions analysis at the end."
12/9/2024 22:24:40,Forest Joddd,12/9/2024,level1_viva24,"1. Go through explaining your entire notebook. {15-20mins}
2. How does Logistic Regression works? {30secs}
3. What is One-Hot-Encoding? Give an example. {30 secs}
4. Is Hyperparameter Tuning and Pipelining present or not. {5secs}

Good Luck for your Viva-2!! {15secs}",Broskiii Feel {Bhai Hai Bantai!}
12/9/2024 23:02:44,"Hello, Forest Joddd here please edit the viva proctor ID, I just submitted through this form... It's level1_viva7 and not level1_viva24.",12/9/2024,level1_viva7,N/A,N/A
12/11/2024 12:27:36,Aarush ,12/11/2024,Level2_81,"Question asked on feature engineering 
Why this preprocessing was done 
Why not any other things used 
Just explain ur question 
No technical questions 
Overall a good supportive proctor ","Just make sure u do this project as office one not just a project 
Cause his question are like u were a task given in office as an employ "
12/11/2024 14:33:40,SUVRAT SURANA,12/10/2024,Leve1_110,"Level 2 viva:
Just be extremely clear with your notebook.
Should be able to explain each and every word and command and the logic mathematics behind it. ",
12/11/2024 20:04:02,,12/11/2024,level2_106_MLP_viva,no questions asked,"you should know everything you have done in the notebook and why you have done it.

explain the notebook soo well that he dosen't need to ask questions.

take your time, go slow"
12/12/2024 17:34:11,Forest Joddd again joining you!,12/12/2024,level2_72,"Present THE notebook! {20mins}
Show me THE Train_Test_Split! {2mins}
Recommendation on Comparison of Models! {3mins}

Thank you! {10secs}",Joddd like me 100%
12/12/2024 23:04:00,,12/12/2024,level3_9,"All questions he asked are mentioned already in the sheet, some more questions:
1. what is 'support' in classification report
2. what do u infer from correlation matrix
3. what is random state=42, why 42?
4. why is learning rate= 0.01, 0.1, 0.2 and not 1, 2, 3","be thorough with your notebook, he can ask anything he wants. he will first start by asking some questions then he will jump to notebook and then end with some more questions from the notebook. no coding questions asked. be confident and say as much u can. My viva was of max 30 mins."
12/13/2024 18:03:24,,12/13/2024,level2_107_MLP_Viva,"1) null value handling techniques
2. Imbalance handling methods
3 why try these many different models
4 info gain relation to entropy
5 decision tree building process
6 why did you use x learn rate for lgbm
7 on mnist data,use pipeline with stdscale, svm with given params print classification report, then also use pca with svm see the score difference
8 activation functions names, tanh function input output",Concept based questions 
12/13/2024 19:09:47,Adarshom Panigrahi,12/13/2024,level2_81,"No question asked. I explained my code to the dot. I explained all the code and concept behind it, Like if using XGBoost what is concept behind it etc. Explanation lasted 40 mins. Just suggested me that instead of simply using mode to fill null values for categorical try other methods.","Just be thorough with your entire code. If you explain every bit of your code without fail, proctor wouldn't ask much."
12/13/2024 20:37:17,,12/13/2024,level2_106,"i explained my notebook in as much depth as possible which took a great chunk of time 
in the end he asked me about how many models have i tried and how many have i hyperparameter tuned (my ans was 5)
feedback was that 'your explanation was really nice, i dont have any further questions'",ensure that your notebook is detailed and take a significant amount of time in explaining it
12/13/2024 20:40:23,,12/10/2024,level1_118,"only asked me to go through my notebook, pointed a few mistakes and gave a few suggestions",focus on your notebook presentation
12/13/2024 20:43:45,,12/13/2024,level2_106,"notebook explanation was in depth...he was satisfied with the explanation and didnt ask me any further questions, (the only question was how many models have u tried and how many did u hyperparameter tune)",
12/13/2024 20:49:39,,12/10/2024,level1_118,"only notebook explanation was done...pointed a few errors, gave a few suggestions...no questions asked",focus on your notebook
12/14/2024 0:05:35,hameed,12/13/2024,level2_122,https://docs.google.com/document/d/1EAXhbpGIaLQT7dQG0F2XslFlAKtUO_Si_yFUQ8VtcbM/edit?usp=sharing,"he is friendly, you can ask him anything you want to ask, viva will be focused on real world scenarios. self introduction will happen be prepared to answer personal questions "
